Column1,Column2,Column3,Column4
-183.8,80.2,0,0
-183.8,81.7,0,0.025
-183.8,81.7,0,0.092
-183.8,81.699,0.037,0.159
-183.8,81.696,0.042,0.226
-183.8,81.685,0.235,0.293
-183.799,81.659,0.446,0.36
-183.799,81.605,0.965,0.427
-183.799,81.52,1.372,0.494
-183.8,81.416,1.624,0.561
-183.801,81.304,1.715,0.628
-183.802,81.191,1.704,0.695
-183.801,81.082,1.644,0.762
-183.799,80.978,1.571,0.829
-183.796,80.878,1.498,0.896
-183.792,80.783,1.434,0.963
-183.786,80.691,1.387,1.03
-183.779,80.601,1.36,1.097
-183.771,80.511,1.354,1.164
-183.762,80.421,1.368,1.231
-183.75,80.33,1.398,1.298
-183.737,80.235,1.438,1.365
-183.721,80.139,1.481,1.432
-183.703,80.04,1.519,1.499
-183.684,79.939,1.549,1.566
-183.662,79.837,1.568,1.633
-183.64,79.735,1.578,1.7
-183.615,79.633,1.582,1.767
-183.59,79.531,1.58,1.834
-183.564,79.429,1.579,1.901
-183.537,79.328,1.578,1.968
-183.509,79.226,1.581,2.035
-183.48,79.125,1.587,2.102
-183.449,79.023,1.597,2.169
-183.418,78.921,1.609,2.236
-183.385,78.818,1.624,2.303
-183.352,78.715,1.639,2.37
-183.317,78.61,1.654,2.437
-183.281,78.505,1.668,2.504
-183.245,78.4,1.681,2.571
-183.208,78.294,1.693,2.638
-183.169,78.187,1.703,2.705
-183.131,78.08,1.713,2.772
-183.091,77.972,1.723,2.839
-183.051,77.864,1.732,2.906
-183.011,77.755,1.742,2.973
-182.97,77.646,1.753,3.04
-182.929,77.537,1.763,3.107
-182.887,77.426,1.774,3.174
-182.845,77.315,1.785,3.241
-182.802,77.204,1.797,3.308
-182.759,77.091,1.81,3.375
-182.716,76.978,1.822,3.442
-182.672,76.864,1.834,3.509
-182.629,76.749,1.846,3.576
-182.585,76.634,1.857,3.643
-182.542,76.517,1.869,3.71
-182.498,76.4,1.881,3.777
-182.455,76.282,1.892,3.844
-182.412,76.163,1.904,3.911
-182.369,76.043,1.916,3.978
-182.325,75.922,1.928,4.045
-182.283,75.8,1.94,4.112
-182.24,75.677,1.953,4.179
-182.197,75.554,1.965,4.246
-182.155,75.429,1.978,4.313
-182.113,75.303,1.991,4.38
-182.072,75.177,2.003,4.447
-182.031,75.049,2.016,4.514
-181.99,74.921,2.029,4.581
-181.949,74.791,2.041,4.648
-181.909,74.66,2.054,4.715
-181.87,74.528,2.067,4.782
-181.83,74.396,2.081,4.849
-181.792,74.262,2.094,4.916
-181.753,74.127,2.108,4.983
-181.716,73.991,2.121,5.05
-181.679,73.854,2.134,5.117
-181.642,73.716,2.148,5.184
-181.606,73.577,2.162,5.251
-181.57,73.436,2.176,5.318
-181.535,73.295,2.19,5.385
-181.501,73.152,2.204,5.452
-181.467,73.009,2.218,5.519
-181.434,72.864,2.232,5.586
-181.402,72.718,2.247,5.653
-181.37,72.571,2.262,5.72
-181.339,72.423,2.276,5.787
-181.309,72.273,2.291,5.854
-181.279,72.123,2.306,5.921
-181.25,71.971,2.321,5.988
-181.222,71.818,2.336,6.055
-181.194,71.664,2.351,6.122
-181.168,71.509,2.366,6.189
-181.142,71.353,2.381,6.256
-181.116,71.195,2.397,6.323
-181.092,71.037,2.412,6.39
-181.068,70.877,2.428,6.457
-181.045,70.716,2.444,6.524
-181.023,70.554,2.46,6.591
-181.001,70.391,2.476,6.658
-180.981,70.226,2.492,6.725
-180.961,70.061,2.509,6.792
-180.941,69.894,2.526,6.859
-180.923,69.726,2.542,6.926
-180.905,69.556,2.558,6.993
-180.888,69.386,2.575,7.06
-180.872,69.214,2.592,7.127
-180.857,69.041,2.609,7.194
-180.842,68.867,2.626,7.261
-180.829,68.692,2.644,7.328
-180.815,68.516,2.661,7.395
-180.803,68.338,2.678,7.462
