Column1,Column2,Column3
-181.3353217,80.53986287,1.5
-181.3386544,79.53878062,1.60010878
-181.3418847,78.53502434,1.700484927
-181.3450131,77.52862721,1.801125127
-181.3480401,76.51962239,1.902026062
-181.3509661,75.50804307,2.003184417
-181.3537915,74.49392243,2.104596876
-181.3565169,73.47729362,2.206260121
-181.3591427,72.45818984,2.308170838
-181.3616693,71.43664425,2.41032571
-181.3640972,70.41269003,2.51272142
-181.366427,69.38636035,2.615354652
-181.3686589,68.35768839,2.71822209
-181.3707936,67.32670732,2.821320418
-181.3728314,66.29345032,2.924646319
-181.3747729,65.25795056,3.028196477
-181.3766185,64.22024122,3.131967575
-181.3783686,63.18035547,3.235956297
-181.3800237,62.13832649,3.340159327
-181.3815843,61.09418745,3.444573348
-181.3830508,60.04797152,3.549195043
-181.3844237,58.99971188,3.654021097
-181.3857035,57.94944171,3.759048192
-181.3868906,56.89719418,3.864273012
-181.3879855,55.84300246,3.96969224
-181.3889886,54.78689974,4.075302561
-181.3899004,53.72891917,4.181100656
-181.3907214,52.66909395,4.287083211
-181.3914521,51.60745724,4.393246907
-181.3920928,50.54404221,4.499588429
-181.392644,49.47888205,4.606104459
-181.3931063,48.41200993,4.712791682
-181.3934801,47.34345902,4.819646779
-181.3937658,46.27326249,4.926666436
-181.3939639,45.20145353,5.033847334
-181.3940749,44.1280653,5.141186157
-181.3940992,43.05313098,5.248679589
-181.3940373,41.97668375,5.356324312
-181.3938896,40.89875678,5.46411701
-181.3936566,39.81938325,5.572054366
-181.3933388,38.73859632,5.680133063
-181.3929366,37.65642918,5.788349785
-181.3924506,36.572915,5.896701214
-181.3918811,35.48808695,6.005184033
-181.3912286,34.40197821,6.113794927
-181.3904936,33.31462196,6.222530577
-181.3896765,32.22605136,6.331387668
-181.3887778,31.13629959,6.440362882
-181.387798,30.04539984,6.549452901
-181.3867375,28.95338526,6.65865441
-181.3855968,27.86028904,6.767964092
-181.3843764,26.76614435,6.877378629
-181.3830767,25.67098437,6.986894704
-181.3816981,24.57484227,7.096509001
-181.3802412,23.47775123,7.206218202
-181.3787063,22.37974441,7.316018991
-181.3770941,21.280855,7.42590805
-181.3754048,20.18111617,7.535882063
-181.3738027,19.18064441,7.635929367
-181.3721378,18.179523,7.736041647
-181.3704102,17.17777685,7.836216411
-181.3686205,16.17543089,7.936451166
-181.366769,15.17251004,8.036743422
-181.3648559,14.16903924,8.137090684
-181.3628816,13.1650434,8.237490462
-181.3608466,12.16054745,8.337940264
-181.3587511,11.15557632,8.438437596
-181.3565955,10.15015492,8.538979966
-181.3543801,9.144308187,8.639564884
-181.3521053,8.138061041,8.740189855
-181.3497714,7.131438408,8.840852389
-181.3473788,6.124465213,8.941549993
-181.3449278,5.117166379,9.042280175
-181.3424188,4.109566832,9.143040442
-181.3398521,3.101691496,9.243828302
-181.337228,2.093565295,9.344641264
-181.334547,1.085213156,9.445476834
-181.3318093,0.076660001,9.546332521
-181.3290153,-0.932069244,9.647205832
-181.3261654,-1.940949654,9.748094276
-181.3232598,-2.949956306,9.84899536
-181.320299,-3.959064273,9.949906591
-181.3172833,-4.968248633,10.05082548
-181.314213,-5.977484459,10.15174953
-181.3110885,-6.986746828,10.25267625
-181.3079101,-7.996010814,10.35360315
-181.3046783,-9.005251494,10.45452773
-181.3013932,-10.01444394,10.55544751
-181.2980553,-11.02356323,10.65635999
-181.2946649,-12.03258444,10.75726268
-181.2912224,-13.04148265,10.85815309
-181.2877281,-14.05023292,10.95902872
-181.2841823,-15.05881034,11.05988709
-181.2805855,-16.06718999,11.16072569
-181.2769379,-17.07534692,11.26154205
-181.2732399,-18.08325623,11.36233366
-181.2694918,-19.09089299,11.46309803
-181.2656941,-20.09823226,11.56383267
-181.261847,-21.10524914,11.6645351
-181.2579508,-22.11191868,11.7652028
-181.254006,-23.11821598,11.86583331
-181.2500129,-24.1241161,11.96642411
-181.2459718,-25.12959411,12.06697273
-181.2418831,-26.1346251,12.16747666
-181.2377471,-27.13918414,12.26793341
-181.2335642,-28.14324631,12.3683405
-181.2293346,-29.14678667,12.46869543
-181.2250589,-30.14978031,12.5689957
-181.2207372,-31.15220231,12.66923883
-181.2163701,-32.15402772,12.76942233
-181.2119577,-33.15523164,12.86954369
-181.2075004,-34.15578914,12.96960043
-181.2025461,-35.25562602,13.07958524
-181.1975383,-36.35461739,13.18948552
-181.1924777,-37.45273009,13.29929795
-181.1873645,-38.54993093,13.40901923
-181.1821994,-39.64618674,13.51864602
-181.1769827,-40.74146434,13.62817503
-181.171715,-41.83573057,13.73760292
-181.1663966,-42.92895224,13.84692638
-181.1610281,-44.02109619,13.95614209
-181.1556099,-45.11212923,14.06524674
-181.1501424,-46.20201819,14.17423701
-181.1446262,-47.29072991,14.28310958
-181.1390617,-48.37823119,14.39186113
-181.1334493,-49.46448887,14.50048835
-181.1277895,-50.54946978,14.60898792
-181.1220829,-51.63314073,14.71735651
-181.1163297,-52.71546856,14.82559083
-181.1105306,-53.79642009,14.93368753
-181.1046859,-54.87596214,15.04164332
-181.0987961,-55.95406154,15.14945487
-181.0928618,-57.03068512,15.25711886
-181.0868832,-58.1057997,15.36463198
-181.080861,-59.1793721,15.47199091
-181.0747956,-60.25136916,15.57919233
-181.0686874,-61.32175769,15.68623293
-181.0625368,-62.39050452,15.79310938
-181.0563445,-63.45757648,15.89981838
-181.0501107,-64.52294039,16.00635659
-181.0438361,-65.58656308,16.11272071
-181.0375209,-66.64841138,16.21890742
-181.0311658,-67.7084521,16.3249134
-181.0247712,-68.76665207,16.43073532
-181.0183374,-69.82297813,16.53636989
-181.0118651,-70.87739708,16.64181377
-181.0053546,-71.92987577,16.74706365
-180.9988064,-72.98038101,16.85211622
-180.992221,-74.02887963,16.95696815
-180.9855989,-75.07533846,17.06161613
-180.9789404,-76.11972432,17.16605684
-180.9722461,-77.16200403,17.27028696
