Column1,Column2,Column3,Column4
-183.8,80.2,0,0
-183.8,78.7,0,0.025
-183.8,78.7,0,0.092
-183.8,78.699,0.026,0.159
-183.799,78.697,0.025,0.226
-183.79,78.686,0.249,0.293
-183.761,78.656,0.532,0.36
-183.702,78.611,0.75,0.427
-183.627,78.549,1.1,0.494
-183.546,78.463,1.485,0.561
-183.465,78.355,1.833,0.628
-183.39,78.231,2.044,0.695
-183.32,78.102,2.102,0.762
-183.253,77.974,2.065,0.829
-183.196,77.849,1.995,0.896
-183.141,77.73,1.902,0.963
-183.087,77.617,1.814,1.03
-183.034,77.509,1.746,1.097
-182.979,77.405,1.704,1.164
-182.924,77.302,1.688,1.231
-182.868,77.2,1.697,1.298
-182.811,77.097,1.725,1.365
-182.752,76.991,1.765,1.432
-182.703,76.88,1.819,1.499
-182.656,76.765,1.858,1.566
-182.61,76.648,1.886,1.633
-182.562,76.53,1.903,1.7
-182.515,76.411,1.912,1.767
-182.466,76.293,1.916,1.834
-182.416,76.175,1.917,1.901
-182.365,76.057,1.919,1.968
-182.312,75.94,1.922,2.035
-182.272,75.817,1.932,2.102
-182.235,75.693,1.943,2.169
-182.197,75.569,1.956,2.236
-182.157,75.444,1.97,2.303
-182.115,75.319,1.985,2.37
-182.071,75.194,2,2.437
-182.024,75.068,2.014,2.504
-181.975,74.942,2.027,2.571
-181.942,74.81,2.036,2.638
-181.911,74.677,2.05,2.705
-181.878,74.543,2.065,2.772
-181.843,74.409,2.079,2.839
-181.805,74.275,2.094,2.906
-181.764,74.141,2.108,2.973
-181.72,74.007,2.121,3.04
-181.672,73.874,2.134,3.107
-181.641,73.734,2.14,3.174
-181.613,73.593,2.154,3.241
-181.583,73.451,2.171,3.308
-181.548,73.309,2.188,3.375
-181.51,73.168,2.204,3.442
-181.468,73.026,2.219,3.509
-181.423,72.885,2.233,3.576
-181.395,72.738,2.238,3.643
-181.369,72.589,2.253,3.71
-181.34,72.44,2.271,3.777
-181.306,72.292,2.289,3.844
-181.269,72.143,2.306,3.911
-181.227,71.994,2.321,3.978
-181.181,71.846,2.336,4.045
-181.155,71.692,2.333,4.112
-181.13,71.536,2.357,4.179
-181.099,71.381,2.377,4.246
-181.063,71.225,2.397,4.313
-181.023,71.07,2.414,4.38
-180.979,70.914,2.429,4.447
-180.955,70.753,2.424,4.514
-180.961,70.587,2.398,4.581
-180.983,70.418,2.405,4.648
-181.01,70.248,2.43,4.715
-181.043,70.077,2.465,4.782
-181.08,69.903,2.502,4.849
-181.123,69.728,2.536,4.916
-181.151,69.551,2.604,4.983
-181.176,69.373,2.629,5.05
-181.207,69.195,2.638,5.117
-181.242,69.016,2.638,5.184
-181.282,68.839,2.637,5.251
-181.305,68.661,2.665,5.318
-181.327,68.482,2.676,5.385
-181.354,68.303,2.684,5.452
-181.387,68.124,2.694,5.519
-181.393,67.943,2.71,5.586
-181.363,67.763,2.703,5.653
-181.352,67.582,2.733,5.72
-181.373,67.398,2.756,5.787
-181.368,67.213,2.776,5.854
-181.337,67.028,2.797,5.921
-181.331,66.84,2.825,5.988
-181.363,66.651,2.823,6.055
-181.388,66.461,2.867,6.122
-181.382,66.269,2.884,6.189
-181.354,66.076,2.903,6.256
-181.351,65.882,2.924,6.323
-181.385,65.687,2.924,6.39
-181.396,65.49,2.955,6.457
-181.376,65.292,2.978,6.524
-181.348,65.093,3.003,6.591
-181.347,64.892,3.021,6.658
-181.382,64.69,3.026,6.725
-181.392,64.487,3.056,6.792
-181.372,64.282,3.081,6.859
-181.379,64.076,3.098,6.926
-181.375,63.869,3.117,6.993
-181.379,63.66,3.138,7.06
-181.377,63.449,3.166,7.127
-181.387,63.237,3.188,7.194
-181.379,63.024,3.202,7.261
-181.347,62.81,3.223,7.328
-181.342,62.594,3.246,7.395
-181.359,62.376,3.277,7.462
-181.382,62.156,3.303,7.529
-181.412,61.936,3.325,7.596
-181.412,61.713,3.336,7.663
-181.376,61.491,3.341,7.73
-181.366,61.267,3.371,7.797
-181.389,61.041,3.398,7.864
-181.383,60.813,3.419,7.931
-181.388,60.584,3.443,7.998
-181.384,60.353,3.468,8.065
-181.363,60.12,3.505,8.132
-181.368,59.886,3.527,8.199
-181.4,59.65,3.546,8.266
-181.403,59.412,3.567,8.333
-181.386,59.173,3.599,8.4
-181.361,58.932,3.626,8.467
-181.367,58.69,3.637,8.534
-181.403,58.447,3.653,8.601
-181.412,58.202,3.684,8.668
-181.392,57.955,3.712,8.735
-181.363,57.707,3.742,8.802
-181.366,57.456,3.757,8.869
-181.404,57.205,3.772,8.936
-181.416,56.952,3.808,9.003
-181.393,56.697,3.836,9.07
-181.359,56.44,3.868,9.137
-181.355,56.181,3.89,9.204
-181.375,55.92,3.925,9.271
-181.403,55.657,3.954,9.338
-181.399,55.393,3.966,9.405
-181.361,55.128,3.983,9.472
-181.351,54.862,4.013,9.539
-181.374,54.593,4.04,9.606
-181.409,54.322,4.071,9.673
-181.412,54.05,4.091,9.74
-181.392,53.775,4.13,9.807
-181.365,53.499,4.163,9.874
-181.369,53.22,4.177,9.941
-181.407,52.941,4.196,10.008
-181.419,52.66,4.228,10.075
-181.395,52.377,4.257,10.142
-181.358,52.092,4.291,10.209
-181.35,51.805,4.324,10.276
-181.37,51.515,4.355,10.343
-181.401,51.223,4.386,10.41
-181.401,50.93,4.401,10.477
-181.381,50.635,4.44,10.544
-181.389,50.338,4.464,10.611
-181.422,50.039,4.492,10.678
-181.423,49.739,4.509,10.745
-181.401,49.437,4.55,10.812
-181.371,49.132,4.588,10.879
-181.374,48.825,4.606,10.946
-181.393,48.516,4.65,11.013
